fips,CountyName
00000,United States
00000,Alabama
00000,Autauga County
00000,Baldwin County
00000,Barbour County
00000,Bibb County
00000,Blount County
00000,Bullock County
00000,Butler County
00000,Calhoun County
00000,Chambers County
00000,Cherokee County
00000,Chilton County
00000,Choctaw County
00000,Clarke County
00000,Clay County
00000,Cleburne County
00000,Coffee County
00000,Colbert County
00000,Conecuh County
00000,Coosa County
00000,Covington County
00000,Crenshaw County
00000,Cullman County
00000,Dale County
00000,Dallas County
00000,DeKalb County
00000,Elmore County
00000,Escambia County
00000,Etowah County
00000,Fayette County
00000,Franklin County
00000,Geneva County
00000,Greene County
00000,Hale County
00000,Henry County
00000,Houston County
00000,Jackson County
00000,Jefferson County
00000,Lamar County
00000,Lauderdale County
00000,Lawrence County
00000,Lee County
00000,Limestone County
00000,Lowndes County
00000,Macon County
00000,Madison County
00000,Marengo County
00000,Marion County
00000,Marshall County
00000,Mobile County
00000,Monroe County
00000,Montgomery County
00000,Morgan County
00000,Perry County
00000,Pickens County
00000,Pike County
00000,Randolph County
00000,Russell County
00000,St. Clair County
00000,Shelby County
00000,Sumter County
00000,Talladega County
00000,Tallapoosa County
00000,Tuscaloosa County
00000,Walker County
00000,Washington County
00000,Wilcox County
00000,Winston County
00124,Abbeville city
00460,Adamsville city
00484,Addison town
00676,Akron town
00820,Alabaster city
00988,Albertville city
01132,Alexander City city
01228,Aliceville city
01396,Allgood town
01660,Altoona town
01708,Andalusia city
01756,Anderson town
01852,Anniston city
02116,Arab city
02260,Ardmore town
02320,Argo town
02428,Ariton town
02500,Arley town
02836,Ashford town
02860,Ashland town
02908,Ashville city
02956,Athens city
03004,Atmore city
03028,Attalla city
03076,Auburn city
03220,Autaugaville town
03364,Avon town
03556,Babbie town
03676,Baileyton town
03724,Bakerhill town
03940,Banks town
04660,Bay Minette city
04684,Bayou La Batre city
04852,Bear Creek town
04900,Beatrice town
04948,Beaverton town
05164,Belk town
05692,Benton town
05932,Berry town
05980,Bessemer city
06460,Billingsley town
07000,Birmingham city
07120,Black town
07456,Blountsville town
07672,Blue Springs town
07912,Boaz city
08104,Boligee town
08248,Bon Air town
09016,Brantley town
09136,Brent city
09208,Brewton city
09328,Bridgeport city
09400,Brighton city
09424,Brilliant town
09736,Brookside town
09808,Brookwood town
10240,Brundidge city
11032,Butler town
11416,Calera city
11512,Camden city
11680,Camp Hill town
12016,Carbon Hill city
12040,Cardiff town
12160,Carolina town
12304,Carrollton town
12496,Castleberry town
12760,Cedar Bluff town
13264,Center Point city
13648,Centre city
13672,Centreville city
14008,Chatom town
14104,Chelsea city
14152,Cherokee town
14392,Chickasaw city
14464,Childersburg city
15064,Citronelle city
15136,Clanton city
15256,Clay city
15304,Clayhatchee town
15376,Clayton town
15472,Cleveland town
15640,Clio city
16000,Coaling town
16240,Coffee Springs town
16264,Coffeeville town
16312,Coker town
16600,Collinsville town
16684,Colony town
16744,Columbia town
16768,Columbiana city
17176,Coosada town
17368,Cordova city
17824,Cottonwood town
17968,County Line town
18040,Courtland town
18088,Cowarts town
18304,Creola city
18856,Crossville town
18952,Cuba town
18976,Cullman city
19216,Cusseta town
19336,Dadeville city
19360,Daleville city
19648,Daphne city
19744,Dauphin Island town
19816,Daviston town
19912,Dayton town
20008,Deatsville town
20104,Decatur city
20296,Demopolis city
20392,Detroit town
20955,Dodge City town
21136,Dora city
21184,Dothan city
21280,Double Springs town
21328,Douglas town
21448,Dozier town
21952,Dutton town
22216,East Brewton city
22816,Eclectic town
23176,Edwardsville town
23296,Elba city
23320,Elberta town
23344,Eldridge town
23488,Elkmont town
23656,Elmore town
23872,Emelle town
24184,Enterprise city
24256,Epes town
24472,Ethelsville town
24568,Eufaula city
24664,Eutaw town
24688,Eva town
24808,Evergreen city
24880,Excel town
25120,Fairfield city
25240,Fairhope city
25384,Fairview town
25648,Falkville town
25816,Faunsdale town
25840,Fayette city
26200,Five Points town
26824,Flomaton town
26848,Florala town
26896,Florence city
26992,Foley city
27376,Forkland town
27520,Fort Deposit town
27616,Fort Payne city
28024,Franklin town
28312,Frisco City town
28432,Fruithurst town
28504,Fulton town
28552,Fultondale city
28672,Fyffe town
28696,Gadsden city
28768,Gainesville town
28936,Gantt town
29032,Garden City town
29056,Gardendale city
29296,Gaylesville town
29392,Geiger town
29464,Geneva city
29560,Georgiana town
29608,Geraldine town
29704,Gilbertown town
29944,Glen Allen town
29992,Glencoe city
30160,Glenwood town
30448,Goldville town
30496,Good Hope town
30640,Goodwater town
30736,Gordo town
30760,Gordon town
30808,Gordonville town
30880,Goshen town
31096,Grant town
31384,Graysville city
31720,Greensboro city
31912,Greenville city
32056,Grimes town
32080,Grove Hill town
32224,Guin city
32272,Gulf Shores city
32416,Guntersville city
32440,Gurley town
32536,Gu-Win town
32560,Hackleburg town
32656,Haleburg town
32704,Haleyville city
32848,Hamilton city
32896,Hammondville town
32968,Hanceville city
33256,Harpersville town
33424,Hartford city
33448,Hartselle city
33640,Hayden town
33712,Hayneville town
33856,Headland city
33904,Heath town
33976,Heflin city
34024,Helena city
34096,Henagar city
34480,Highland Lake town
34816,Hillsboro town
35152,Hobson City town
35200,Hodges town
35392,Hokes Bluff city
35560,Holly Pond town
35632,Hollywood town
35800,Homewood city
35896,Hoover city
36088,Horn Hill town
36448,Hueytown city
37000,Huntsville city
37096,Hurtsboro town
37264,Hytop town
37312,Ider town
37465,Indian Springs Village city
37864,Irondale city
38152,Jackson city
38248,Jacksons' Gap town
38272,Jacksonville city
38416,Jasper city
38608,Jemison city
39280,Kansas town
39472,Kellyton town
39520,Kennedy town
39784,Killen town
39856,Kimberly city
40072,Kinsey town
40096,Kinston town
40672,La Fayette city
40888,Lakeview town
40928,Lake View town
41296,Lanett city
41368,Langston town
41968,Leeds city
42016,Leesburg town
42160,Leighton town
42352,Lester town
42472,Level Plains town
42640,Lexington town
42808,Libertyville town
43120,Lincoln city
43240,Linden city
43264,Lineville city
43336,Lipscomb city
43384,Lisman town
43648,Littleville town
43720,Livingston city
43744,Loachapoka town
43816,Lockhart town
43888,Locust Fork town
44344,Louisville town
44536,Lowndesboro town
44608,Loxley town
44728,Luverne city
44800,Lynn town
45472,McIntosh town
45496,McKenzie town
45640,McMullen town
45784,Madison city
45904,Madrid town
46072,Magnolia Springs town
46264,Malvern town
46504,Maplesville town
46696,Margaret town
46768,Marion city
47728,Maytown town
48052,Memphis town
48064,Mentone town
48376,Midfield city
48400,Midland City town
48424,Midway town
48712,Millbrook city
48808,Millport town
48832,Millry town
50000,Mobile city
50192,Monroeville city
50312,Montevallo city
51000,Montgomery city
51096,Moody city
51264,Mooresville town
51456,Morris town
51520,Mosses town
51600,Moulton city
51648,Moundville town
51696,Mountain Brook city
52608,Mount Vernon town
52776,Mulga town
52848,Munford town
53016,Muscle Shoals city
53112,Myrtlewood town
53256,Napier Field town
53376,Natural Bridge town
53400,Nauvoo town
53448,Nectar town
53472,Needham town
53784,Newbern town
53856,New Brockton town
54168,New Hope city
54432,New Site town
54480,Newton town
54600,Newville town
55044,North Courtland town
55152,North Johns town
55200,Northport city
55440,Notasulga town
55752,Oak Grove town
55848,Oak Hill town
55992,Oakman town
56400,Odenville town
56472,Ohatchee town
57000,Oneonta city
57024,Onycha town
57048,Opelika city
57120,Opp city
57144,Orange Beach city
57240,Orrville town
57504,Owens Cross Roads town
57576,Oxford city
57648,Ozark city
57696,Paint Rock town
58272,Parrish town
58848,Pelham city
58896,Pell City city
58968,Pennington town
59088,Perdido Beach town
59328,Petrey town
59472,Phenix City city
59496,Phil Campbell town
59592,Pickensville town
59640,Piedmont city
59760,Pike Road town
59832,Pinckard town
59880,Pine Apple town
60240,Pine Hill town
60372,Pine Ridge town
60648,Pinson city
60720,Pisgah town
61008,Pleasant Grove city
61038,Pleasant Groves town
61536,Pollard town
62075,Powell town
62328,Prattville city
62472,Priceville town
62496,Prichard city
62688,Providence town
63216,Ragland town
63288,Rainbow City city
63336,Rainsville city
63408,Ranburne town
63576,Red Bay city
63768,Red Level town
63984,Reece City town
64104,Reform town
64152,Rehobeth town
64368,Repton town
64656,Ridgeville town
64776,River Falls town
64920,Riverside town
65016,Riverview town
65040,Roanoke city
65208,Robertsdale city
65472,Rockford town
66216,Rogersville town
66408,Rosa town
67056,Russellville city
67176,Rutledge town
67536,St. Florian town
67800,Samson city
67920,Sand Rock town
68016,Sanford town
68160,Saraland city
68280,Sardis City town
68352,Satsuma city
68736,Scottsboro city
69000,Section town
69120,Selma city
69240,Semmes city
69648,Sheffield city
69840,Shiloh town
70128,Shorter town
70416,Silas town
70536,Silverhill town
70704,Sipsey town
70896,Skyline town
71040,Slocomb city
71190,Smiths Station city
71280,Snead town
71496,Somerville town
71832,Southside city
71900,South Vinemont town
71976,Spanish Fort city
72600,Springville city
72888,Steele town
73080,Stevenson city
73728,Sulligent city
73848,Sumiton city
73872,Summerdale town
74160,Susan Moore town
74304,Sweet Water town
74352,Sylacauga city
74400,Sylvania town
74424,Sylvan Springs town
74592,Talladega city
74616,Talladega Springs town
74688,Tallassee city
74976,Tarrant city
75096,Taylor town
75936,Thomaston town
75960,Thomasville city
76080,Thorsby town
76584,Town Creek town
76632,Toxey town
76680,Trafford town
76824,Triana town
76872,Trinity town
76920,Troy city
76944,Trussville city
77256,Tuscaloosa city
77280,Tuscumbia city
77304,Tuskegee city
77352,Twin town
77616,Union town
77784,Union Grove town
77880,Union Springs city
77904,Uniontown town
78204,Valley city
78232,Valley Grande city
78240,Valley Head town
78264,Vance town
78480,Vernon city
78552,Vestavia Hills city
78984,Vina town
79008,Vincent town
79272,Vredenburgh town
79344,Wadley town
79488,Waldo town
79728,Walnut Grove town
79944,Warrior city
80064,Waterloo town
80256,Waverly town
80352,Weaver city
80376,Webb town
80496,Wedowee town
80928,West Blocton town
81336,West Jefferson town
81504,Westover town
81528,West Point town
81720,Wetumpka city
81912,White Hall town
82848,Wilsonville town
82872,Wilton town
82992,Winfield city
83400,Woodland town
83640,Woodstock town
83664,Woodville town
83976,Yellow Bluff town
84096,York city
00000,Alaska
00000,Aleutians East Borough
00000,Aleutians West Census Area
00000,Anchorage Municipality
00000,Bethel Census Area
00000,Bristol Bay Borough
00000,Denali Borough
00000,Dillingham Census Area
00000,Fairbanks North Star Borough
00000,Haines Borough
00000,Hoonah-Angoon Census Area
00000,Juneau City and Borough
00000,Kenai Peninsula Borough
00000,Ketchikan Gateway Borough
00000,Kodiak Island Borough
00000,Kusilvak Census Area
00000,Lake and Peninsula Borough
00000,Matanuska-Susitna Borough
00000,Nome Census Area
00000,North Slope Borough
00000,Northwest Arctic Borough
00000,Petersburg Borough
00000,Prince of Wales-Hyder Census Area
00000,Sitka City and Borough
00000,Skagway Municipality
00000,Southeast Fairbanks Census Area
00000,Valdez-Cordova Census Area
00000,Wrangell City and Borough
00000,Yakutat City and Borough
00000,Yukon-Koyukuk Census Area
00065,Adak city
00650,Akhiok city
00870,Akiak city
01090,Akutan city
01200,Alakanuk city
01420,Aleknagik city
01860,Allakaket city
01970,Ambler city
02080,Anaktuvuk Pass city
03000,Anchorage municipality
03220,Anderson city
03440,Angoon city
03550,Aniak city
03880,Anvik city
04210,Atka city
04500,Atqasuk city
05200,Barrow city
06520,Bethel city
06630,Bettles city
08740,Brevig Mission city
09600,Buckland city
12680,Chefornak city
13230,Chevak city
13550,Chignik city
14330,Chuathbaluk city
15430,Clark's Point city
16360,Coffman Cove city
16530,Cold Bay city
17410,Cordova city
